jobTitle,company,location,description,url,salary,datePosted,applicationDate,status,notes
"Manager, Data Science","T-Mobile USA, Inc.","Roeland Park, Johnson County","At T-Mobile, we invest in YOU! Our Total Rewards Package ensures that employees get the same big love we give our customers. All team members receive a competitive base salary and compensation package - this is Total Rewards. Employees enjoy multiple wealth-building opportunities through our annual stock grant, employee stock purchase plan, 401(k), and access to free, year-round money coaches. That?s how we?re UNSTOPPABLE for our employees! Job Overview The Manager, Data Science manages the var?",https://www.adzuna.com/land/ad/5158930368?se=UH9b2BQt8BG9KE9rUyZXLA&utm_medium=api&utm_source=9e5b4529&v=03C147B3C8F0784D5DC7B3EDB0B1A1F3198E85D4,$113756 - $113756,2025-04-23,2025-05-09,Applied,"Your application notes go here"
"Chemical Engineering Intern - Onquest","Onquest, Inc","San Dimas, Los Angeles County","Job Description Job Description Primoris Services Corporation is now searching for a Chemical Engineering Intern for the Summer of 2025. This Intern will support our Engineering Team with various projects and will gain real-life experience while working alongside our professional team. Essential responsibilities will involve performing engineering and/or design support tasks as requested by their lead engineer or engineering manager. Education and/or Experience Junior-level student currently en…",https://www.adzuna.com/details/5131261674?utm_medium=api&utm_source=9e5b4529,$52654 - $52654,2025-04-05,2025-05-04,Applied,"Initial application submitted"
